Species	Common_name	NCBI_Tax_ID	Mitochondrial_genome_accession	Nuclear_genome_accession	Nuclear_genome_size_(GB)	RefSeq/GenBank	dataset
Ondatra zibethicus	muskrat	10060	NC_036035.1	GCA_004026605.1	2.56	GenBank	rod
Ornithorhynchus anatinus	platypus	9258	NC_000891.1	GCF_004115215.2	1.86	Refseq	vert
Peromyscus maniculatus bairdii	prairie deer mouse	230844	NC_039921.1	GCF_000500345.1Ê	2.63	RefSeq	rod
Petromyzon marinus	sea lamprey	7757	NC_001626.1	GCF_010993605.1	1.09	Refseq	vert
Phodopus sungorus	Djungarian hamster	10044	NC_042823.1	GCA_001707965.1	2	GenBank	rod
Psammomys obesus	fat sand rat	48139	NC_037509.1	GCA_002215935.1	2.31	GenBank	rod
Python bivittatus	Burmese python	176946	NC_021479.1	GCF_000186305.1	1.44	Refseq	vert
Rattus norvegicus	Norway rat	10116	NC_001665.2	GCF_000001895.5	2.87	RefSeq	rod/vert
Rattus rattus	black rat	10117	NC_012374.1	GCF_011064425.1	2.38	RefSeq	rod
Rhizomys pruinosus	hoary bamboo rat	53275	NC_021478.1	GCA_009823505.1	3.71	GenBank	rod
Sarcophilus harrisii	Tasmanian devil	9305	NC_018788.1	GCF_902635505.1	3.09	Refseq	vert
Sciurus vulgaris	Eastern red squirrel	55149	NC_002369.1	GCA_902686455.1	2.88	GenBank	rod
Sigmodon hispidus	hispid cotton rat	42415	NC_035572.1	GCA_004025045.1	2.73	GenBank	rod
Spermophilus dauricus	Daurian ground squirrel	99837	NC_027283.1	GCA_002406435.1	3.11	GenBank	rod
Tachyglossus aculeatus	echnida	9261	CM027631.1	GCF_015852505.1	2.21	Refseq	vert
Taeniopygia guttata	zebra finch	59729	NC_007897.1	GCF_003957565.2	1.05	Refseq	vert
Takifugu rubripes	torafugu	31033	NC_004299.1	GCF_901000725.2	0.38	Refseq	vert
Thryonomys swinderianus	greater cane rat	10169	NC_002658.1	GCA_004025085.1	2.66	GenBank	rod
Thylacinus cynocephalus	Tasmanian wolf	9275	NC_011944.1	GCA_007646695.1	3.1	Genbank	vert
Tympanoctomys barrerae	plains viscacha rat	61882	NC_020792.1	GCA_002564285.1	2.65	GenBank	rod
Xenopus tropicalis	tropical clawed frog	8364	NC_006839.1	GCA_000004195.4	1.45	Genbank	vert
